ticker,date,title,net_score,keyword_score,composite_signal,position,return_5d,net_return
MSFT,2024-04-27,Strong quarterly beat for MSFT: EPS of $7.78 vs $25.5 estimate. Revenue of $115.9B exceeded consensus. Management expressed confidence in full-year targets citing robust pipeline and strong demand trends.,0.8902,1.0,0.9341,1,-0.003727,-0.004727
AAPL,2024-04-20,Strong quarterly beat for AAPL: EPS of $2.95 vs $104.4 estimate. Revenue of $105.9B exceeded consensus. Management expressed confidence in full-year targets citing robust pipeline and strong demand trends.,0.856,1.0,0.9136,1,0.048924,0.047924
GOOGL,2024-04-14,GOOGL Q2 results disappointed investors as revenue declined 14.9% year-over-year. CEO warned of deteriorating conditions and cut guidance for next quarter. Operating margins contracted 121bps on cost pressures.,-0.7547,-0.96,-0.8368,-1,0.00371,-0.004710000000000001
JPM,2024-04-11,JPM delivered results largely in line with expectations. The company maintained its guidance range and flagged both opportunities and risks in the current environment. Operating margins stable.,0.1079,0.0,0.0647,1,-0.008243,-0.009243000000000001
AAPL,2024-04-05,AAPL delivered exceptional Q4 results with revenue growth of 12.6% year-over-year. CEO highlighted accelerating market share gains and raised forward guidance. Operating margins expanded 54bps.,0.8512,1.0,0.9107,1,0.034471,0.033471
JNJ,2024-03-30,Disappointing quarter for JNJ: missed on both top and bottom line. Revenue of $71.2B fell short of $70.7B consensus estimate. Margin pressure and inventory buildup weighed on results. Guidance lowered.,-0.8961,-1.0,-0.9377,-1,-0.021423,0.020423
MSFT,2024-03-16,"MSFT earnings miss: EPS of $2.47 vs $15.9 expected. Management cited geopolitical uncertainty, inflation headwinds, and demand weakness. Credit loss provisions increased $1.6B. Outlook remains cautious.",-0.8027,-0.9429,-0.8588,-1,-0.055761,0.054761
META,2024-03-15,META delivered exceptional Q2 results with revenue growth of 23.1% year-over-year. CEO highlighted accelerating market share gains and raised forward guidance. Operating margins expanded 138bps.,0.831,1.0,0.8986,1,0.002556,0.001556
GOOGL,2024-03-05,GOOGL Q4 earnings call: CEO highlighted record free cash flow of $36.3B and announced dividend increase of 13%. New product launches driving accelerating growth in core markets. Guidance raised.,0.9249,1.0,0.9549,1,-0.000787,-0.001787
GS,2024-03-04,GS Q1 earnings call: CEO highlighted record free cash flow of $20.6B and announced dividend increase of 6%. New product launches driving accelerating growth in core markets. Guidance raised.,0.913,1.0,0.9478,1,0.01832,0.01732
JNJ,2024-02-25,JNJ reported below-consensus earnings amid regulatory challenges and increased competition. The company announced restructuring affecting 5K employees and warned of continued near-term uncertainty.,-0.96,-0.95,-0.956,-1,0.052898,-0.053898
JPM,2024-02-22,JPM Q1 earnings: EPS of $5.26 in line with consensus estimate of $48.7. Revenue growth of 9.5% year-over-year consistent with guidance. No material changes to full-year outlook.,0.2554,0.0,0.1532,1,0.064171,0.063171
JPM,2024-02-14,Strong quarterly beat for JPM: EPS of $1.61 vs $37.9 estimate. Revenue of $117.9B exceeded consensus. Management expressed confidence in full-year targets citing robust pipeline and strong demand trends.,0.7129,1.0,0.8277,1,0.00616,0.00516
BAC,2024-02-10,BAC beat earnings expectations with strong performance across all segments. The company raised its annual forecast and announced a $8.0B share buyback program. Gross margins improved to 54.4%.,0.657,1.0,0.7942,1,0.051278,0.050277999999999996
BAC,2024-02-10,BAC delivered results largely in line with expectations. The company maintained its guidance range and flagged both opportunities and risks in the current environment. Operating margins stable.,0.0988,0.0,0.0593,1,0.051278,0.050277999999999996
GOOGL,2024-01-07,Strong quarterly beat for GOOGL: EPS of $5.63 vs $69.6 estimate. Revenue of $12.6B exceeded consensus. Management expressed confidence in full-year targets citing robust pipeline and strong demand trends.,0.789,1.0,0.8734,1,-0.068832,-0.069832
BAC,2024-01-05,BAC reported below-consensus earnings amid regulatory challenges and increased competition. The company announced restructuring affecting 3K employees and warned of continued near-term uncertainty.,-0.602,-0.9,-0.7212,-1,0.047423,-0.048423
